Day,Month,AQI,Year,Date,AQI_Category,Season,Month_Num
18,April,138,2024,18-04-2024,Moderate,Summer,4
19,April,98,2024,19-04-2024,Satisfactory,Summer,4
20,April,117,2024,20-04-2024,Moderate,Summer,4
21,April,123,2024,21-04-2024,Moderate,Summer,4
22,April,127,2024,22-04-2024,Moderate,Summer,4
23,April,158,2024,23-04-2024,Moderate,Summer,4
24,April,118,2024,24-04-2024,Moderate,Summer,4
25,April,102,2024,25-04-2024,Moderate,Summer,4
26,April,121,2024,26-04-2024,Moderate,Summer,4
27,April,99,2024,27-04-2024,Satisfactory,Summer,4
28,April,157,2024,28-04-2024,Moderate,Summer,4
29,April,118,2024,29-04-2024,Moderate,Summer,4
30,April,166,2024,30-04-2024,Moderate,Summer,4
1,May,132,2024,01-05-2024,Moderate,Summer,5
2,May,117,2024,02-05-2024,Moderate,Summer,5
3,May,112,2024,03-05-2024,Moderate,Summer,5
4,May,118,2024,04-05-2024,Moderate,Summer,5
5,May,122,2024,05-05-2024,Moderate,Summer,5
6,May,103,2024,06-05-2024,Moderate,Summer,5
7,May,88,2024,07-05-2024,Satisfactory,Summer,5
8,May,108,2024,08-05-2024,Moderate,Summer,5
9,May,92,2024,09-05-2024,Satisfactory,Summer,5
10,May,94,2024,10-05-2024,Satisfactory,Summer,5
11,May,128,2024,11-05-2024,Moderate,Summer,5
12,May,96,2024,12-05-2024,Satisfactory,Summer,5
13,May,123,2024,13-05-2024,Moderate,Summer,5
14,May,77,2024,14-05-2024,Satisfactory,Summer,5
15,May,98,2024,15-05-2024,Satisfactory,Summer,5
16,May,106,2024,16-05-2024,Moderate,Summer,5
17,May,90,2024,17-05-2024,Satisfactory,Summer,5
18,May,114,2024,18-05-2024,Moderate,Summer,5
19,May,93,2024,19-05-2024,Satisfactory,Summer,5
20,May,98,2024,20-05-2024,Satisfactory,Summer,5
21,May,81,2024,21-05-2024,Satisfactory,Summer,5
22,May,94,2024,22-05-2024,Satisfactory,Summer,5
25,May,96,2024,25-05-2024,Satisfactory,Summer,5
26,May,73,2024,26-05-2024,Satisfactory,Summer,5
27,May,76,2024,27-05-2024,Satisfactory,Summer,5
28,May,74,2024,28-05-2024,Satisfactory,Summer,5
29,May,58,2024,29-05-2024,Satisfactory,Summer,5
30,May,71,2024,30-05-2024,Satisfactory,Summer,5
31,May,64,2024,31-05-2024,Satisfactory,Summer,5
1,June,63,2024,01-06-2024,Satisfactory,Monsoon,6
2,June,58,2024,02-06-2024,Satisfactory,Monsoon,6
3,June,57,2024,03-06-2024,Satisfactory,Monsoon,6
4,June,60,2024,04-06-2024,Satisfactory,Monsoon,6
5,June,64,2024,05-06-2024,Satisfactory,Monsoon,6
6,June,58,2024,06-06-2024,Satisfactory,Monsoon,6
7,June,74,2024,07-06-2024,Satisfactory,Monsoon,6
8,June,58,2024,08-06-2024,Satisfactory,Monsoon,6
9,June,56,2024,09-06-2024,Satisfactory,Monsoon,6
10,June,58,2024,10-06-2024,Satisfactory,Monsoon,6
11,June,56,2024,11-06-2024,Satisfactory,Monsoon,6
12,June,66,2024,12-06-2024,Satisfactory,Monsoon,6
13,June,49,2024,13-06-2024,Good,Monsoon,6
14,June,33,2024,14-06-2024,Good,Monsoon,6
15,June,45,2024,15-06-2024,Good,Monsoon,6
16,June,50,2024,16-06-2024,Good,Monsoon,6
17,June,44,2024,17-06-2024,Good,Monsoon,6
18,June,58,2024,18-06-2024,Satisfactory,Monsoon,6
19,June,55,2024,19-06-2024,Satisfactory,Monsoon,6
20,June,47,2024,20-06-2024,Good,Monsoon,6
21,June,41,2024,21-06-2024,Good,Monsoon,6
22,June,58,2024,22-06-2024,Satisfactory,Monsoon,6
23,June,60,2024,23-06-2024,Satisfactory,Monsoon,6
24,June,54,2024,24-06-2024,Satisfactory,Monsoon,6
25,June,63,2024,25-06-2024,Satisfactory,Monsoon,6
26,June,50,2024,26-06-2024,Good,Monsoon,6
27,June,40,2024,27-06-2024,Good,Monsoon,6
28,June,48,2024,28-06-2024,Good,Monsoon,6
29,June,52,2024,29-06-2024,Satisfactory,Monsoon,6
30,June,56,2024,30-06-2024,Satisfactory,Monsoon,6
1,July,50,2024,01-07-2024,Good,Monsoon,7
2,July,47,2024,02-07-2024,Good,Monsoon,7
3,July,31,2024,03-07-2024,Good,Monsoon,7
4,July,42,2024,04-07-2024,Good,Monsoon,7
5,July,49,2024,05-07-2024,Good,Monsoon,7
6,July,56,2024,06-07-2024,Satisfactory,Monsoon,7
7,July,44,2024,07-07-2024,Good,Monsoon,7
8,July,44,2024,08-07-2024,Good,Monsoon,7
9,July,44,2024,09-07-2024,Good,Monsoon,7
10,July,46,2024,10-07-2024,Good,Monsoon,7
11,July,35,2024,11-07-2024,Good,Monsoon,7
12,July,44,2024,12-07-2024,Good,Monsoon,7
13,July,38,2024,13-07-2024,Good,Monsoon,7
14,July,39,2024,14-07-2024,Good,Monsoon,7
15,July,34,2024,15-07-2024,Good,Monsoon,7
16,July,44,2024,16-07-2024,Good,Monsoon,7
17,July,29,2024,17-07-2024,Good,Monsoon,7
18,July,29,2024,18-07-2024,Good,Monsoon,7
19,July,34,2024,19-07-2024,Good,Monsoon,7
20,July,32,2024,20-07-2024,Good,Monsoon,7
21,July,28,2024,21-07-2024,Good,Monsoon,7
22,July,34,2024,22-07-2024,Good,Monsoon,7
23,July,28,2024,23-07-2024,Good,Monsoon,7
24,July,32,2024,24-07-2024,Good,Monsoon,7
25,July,26,2024,25-07-2024,Good,Monsoon,7
26,July,28,2024,26-07-2024,Good,Monsoon,7
27,July,37,2024,27-07-2024,Good,Monsoon,7
28,July,42,2024,28-07-2024,Good,Monsoon,7
29,July,48,2024,29-07-2024,Good,Monsoon,7
30,July,49,2024,30-07-2024,Good,Monsoon,7
31,July,32,2024,31-07-2024,Good,Monsoon,7
1,August,31,2024,01-08-2024,Good,Monsoon,8
2,August,26,2024,02-08-2024,Good,Monsoon,8
3,August,30,2024,03-08-2024,Good,Monsoon,8
4,August,37,2024,04-08-2024,Good,Monsoon,8
5,August,38,2024,05-08-2024,Good,Monsoon,8
6,August,36,2024,06-08-2024,Good,Monsoon,8
7,August,46,2024,07-08-2024,Good,Monsoon,8
8,August,40,2024,08-08-2024,Good,Monsoon,8
9,August,57,2024,09-08-2024,Satisfactory,Monsoon,8
10,August,55,2024,10-08-2024,Satisfactory,Monsoon,8
11,August,51,2024,11-08-2024,Satisfactory,Monsoon,8
12,August,60,2024,12-08-2024,Satisfactory,Monsoon,8
13,August,72,2024,13-08-2024,Satisfactory,Monsoon,8
14,August,79,2024,14-08-2024,Satisfactory,Monsoon,8
15,August,37,2024,15-08-2024,Good,Monsoon,8
16,August,28,2024,16-08-2024,Good,Monsoon,8
17,August,66,2024,17-08-2024,Satisfactory,Monsoon,8
18,August,52,2024,18-08-2024,Satisfactory,Monsoon,8
19,August,54,2024,19-08-2024,Satisfactory,Monsoon,8
20,August,53,2024,20-08-2024,Satisfactory,Monsoon,8
21,August,48,2024,21-08-2024,Good,Monsoon,8
22,August,46,2024,22-08-2024,Good,Monsoon,8
23,August,26,2024,23-08-2024,Good,Monsoon,8
24,August,22,2024,24-08-2024,Good,Monsoon,8
25,August,25,2024,25-08-2024,Good,Monsoon,8
26,August,24,2024,26-08-2024,Good,Monsoon,8
27,August,24,2024,27-08-2024,Good,Monsoon,8
28,August,32,2024,28-08-2024,Good,Monsoon,8
29,August,35,2024,29-08-2024,Good,Monsoon,8
30,August,48,2024,30-08-2024,Good,Monsoon,8
31,August,41,2024,31-08-2024,Good,Monsoon,8
1,September,51,2024,01-09-2024,Satisfactory,Monsoon,9
2,September,50,2024,02-09-2024,Good,Monsoon,9
3,September,48,2024,03-09-2024,Good,Monsoon,9
4,September,42,2024,04-09-2024,Good,Monsoon,9
5,September,38,2024,05-09-2024,Good,Monsoon,9
6,September,40,2024,06-09-2024,Good,Monsoon,9
7,September,42,2024,07-09-2024,Good,Monsoon,9
8,September,35,2024,08-09-2024,Good,Monsoon,9
9,September,42,2024,09-09-2024,Good,Monsoon,9
10,September,39,2024,10-09-2024,Good,Monsoon,9
11,September,50,2024,11-09-2024,Good,Monsoon,9
12,September,68,2024,12-09-2024,Satisfactory,Monsoon,9
13,September,74,2024,13-09-2024,Satisfactory,Monsoon,9
14,September,34,2024,14-09-2024,Good,Monsoon,9
15,September,47,2024,15-09-2024,Good,Monsoon,9
16,September,58,2024,16-09-2024,Satisfactory,Monsoon,9
17,September,54,2024,17-09-2024,Satisfactory,Monsoon,9
18,September,72,2024,18-09-2024,Satisfactory,Monsoon,9
19,September,68,2024,19-09-2024,Satisfactory,Monsoon,9
20,September,66,2024,20-09-2024,Satisfactory,Monsoon,9
21,September,74,2024,21-09-2024,Satisfactory,Monsoon,9
22,September,38,2024,22-09-2024,Good,Monsoon,9
23,September,72,2024,23-09-2024,Satisfactory,Monsoon,9
24,September,90,2024,24-09-2024,Satisfactory,Monsoon,9
25,September,50,2024,25-09-2024,Good,Monsoon,9
26,September,36,2024,26-09-2024,Good,Monsoon,9
27,September,40,2024,27-09-2024,Good,Monsoon,9
28,September,52,2024,28-09-2024,Satisfactory,Monsoon,9
29,September,49,2024,29-09-2024,Good,Monsoon,9
30,September,60,2024,30-09-2024,Satisfactory,Monsoon,9
1,October,62,2024,01-10-2024,Satisfactory,Post-Monsoon,10
2,October,75,2024,02-10-2024,Satisfactory,Post-Monsoon,10
3,October,89,2024,03-10-2024,Satisfactory,Post-Monsoon,10
4,October,69,2024,04-10-2024,Satisfactory,Post-Monsoon,10
5,October,62,2024,05-10-2024,Satisfactory,Post-Monsoon,10
6,October,66,2024,06-10-2024,Satisfactory,Post-Monsoon,10
7,October,106,2024,07-10-2024,Moderate,Post-Monsoon,10
8,October,167,2024,08-10-2024,Moderate,Post-Monsoon,10
9,October,140,2024,09-10-2024,Moderate,Post-Monsoon,10
10,October,108,2024,10-10-2024,Moderate,Post-Monsoon,10
11,October,97,2024,11-10-2024,Satisfactory,Post-Monsoon,10
12,October,80,2024,12-10-2024,Satisfactory,Post-Monsoon,10
13,October,71,2024,13-10-2024,Satisfactory,Post-Monsoon,10
14,October,72,2024,14-10-2024,Satisfactory,Post-Monsoon,10
15,October,80,2024,15-10-2024,Satisfactory,Post-Monsoon,10
16,October,60,2024,16-10-2024,Satisfactory,Post-Monsoon,10
17,October,77,2024,17-10-2024,Satisfactory,Post-Monsoon,10
18,October,70,2024,18-10-2024,Satisfactory,Post-Monsoon,10
19,October,52,2024,19-10-2024,Satisfactory,Post-Monsoon,10
20,October,87,2024,20-10-2024,Satisfactory,Post-Monsoon,10
21,October,102,2024,21-10-2024,Moderate,Post-Monsoon,10
22,October,78,2024,22-10-2024,Satisfactory,Post-Monsoon,10
23,October,82,2024,23-10-2024,Satisfactory,Post-Monsoon,10
24,October,98,2024,24-10-2024,Satisfactory,Post-Monsoon,10
25,October,157,2024,25-10-2024,Moderate,Post-Monsoon,10
26,October,151,2024,26-10-2024,Moderate,Post-Monsoon,10
27,October,162,2024,27-10-2024,Moderate,Post-Monsoon,10
28,October,158,2024,28-10-2024,Moderate,Post-Monsoon,10
29,October,194,2024,29-10-2024,Moderate,Post-Monsoon,10
30,October,186,2024,30-10-2024,Moderate,Post-Monsoon,10
31,October,150,2024,31-10-2024,Moderate,Post-Monsoon,10
1,November,184,2024,01-11-2024,Moderate,Post-Monsoon,11
2,November,170,2024,02-11-2024,Moderate,Post-Monsoon,11
3,November,156,2024,03-11-2024,Moderate,Post-Monsoon,11
4,November,176,2024,04-11-2024,Moderate,Post-Monsoon,11
5,November,164,2024,05-11-2024,Moderate,Post-Monsoon,11
6,November,192,2024,06-11-2024,Moderate,Post-Monsoon,11
7,November,197,2024,07-11-2024,Moderate,Post-Monsoon,11
8,November,210,2024,08-11-2024,Poor,Post-Monsoon,11
9,November,174,2024,09-11-2024,Moderate,Post-Monsoon,11
10,November,199,2024,10-11-2024,Moderate,Post-Monsoon,11
11,November,268,2024,11-11-2024,Poor,Post-Monsoon,11
12,November,257,2024,12-11-2024,Poor,Post-Monsoon,11
13,November,228,2024,13-11-2024,Poor,Post-Monsoon,11
14,November,135,2024,14-11-2024,Moderate,Post-Monsoon,11
15,November,90,2024,15-11-2024,Satisfactory,Post-Monsoon,11
16,November,98,2024,16-11-2024,Satisfactory,Post-Monsoon,11
17,November,168,2024,17-11-2024,Moderate,Post-Monsoon,11
18,November,161,2024,18-11-2024,Moderate,Post-Monsoon,11
19,November,217,2024,19-11-2024,Poor,Post-Monsoon,11
20,November,170,2024,20-11-2024,Moderate,Post-Monsoon,11
21,November,122,2024,21-11-2024,Moderate,Post-Monsoon,11
22,November,130,2024,22-11-2024,Moderate,Post-Monsoon,11
23,November,150,2024,23-11-2024,Moderate,Post-Monsoon,11
24,November,134,2024,24-11-2024,Moderate,Post-Monsoon,11
25,November,208,2024,25-11-2024,Poor,Post-Monsoon,11
26,November,127,2024,26-11-2024,Moderate,Post-Monsoon,11
27,November,98,2024,27-11-2024,Satisfactory,Post-Monsoon,11
28,November,104,2024,28-11-2024,Moderate,Post-Monsoon,11
29,November,82,2024,29-11-2024,Satisfactory,Post-Monsoon,11
30,November,104,2024,30-11-2024,Moderate,Post-Monsoon,11
1,December,125,2024,01-12-2024,Moderate,Winter,12
2,December,86,2024,02-12-2024,Satisfactory,Winter,12
3,December,70,2024,03-12-2024,Satisfactory,Winter,12
4,December,38,2024,04-12-2024,Good,Winter,12
5,December,115,2024,05-12-2024,Moderate,Winter,12
6,December,62,2024,06-12-2024,Satisfactory,Winter,12
7,December,62,2024,07-12-2024,Satisfactory,Winter,12
8,December,82,2024,08-12-2024,Satisfactory,Winter,12
9,December,83,2024,09-12-2024,Satisfactory,Winter,12
10,December,80,2024,10-12-2024,Satisfactory,Winter,12
11,December,154,2024,11-12-2024,Moderate,Winter,12
12,December,162,2024,12-12-2024,Moderate,Winter,12
13,December,131,2024,13-12-2024,Moderate,Winter,12
14,December,106,2024,14-12-2024,Moderate,Winter,12
15,December,110,2024,15-12-2024,Moderate,Winter,12
16,December,143,2024,16-12-2024,Moderate,Winter,12
17,December,188,2024,17-12-2024,Moderate,Winter,12
18,December,177,2024,18-12-2024,Moderate,Winter,12
19,December,108,2024,19-12-2024,Moderate,Winter,12
20,December,61,2024,20-12-2024,Satisfactory,Winter,12
21,December,66,2024,21-12-2024,Satisfactory,Winter,12
22,December,37,2024,22-12-2024,Good,Winter,12
23,December,37,2024,23-12-2024,Good,Winter,12
24,December,72,2024,24-12-2024,Satisfactory,Winter,12
25,December,79,2024,25-12-2024,Satisfactory,Winter,12
26,December,93,2024,26-12-2024,Satisfactory,Winter,12
27,December,87,2024,27-12-2024,Satisfactory,Winter,12
28,December,76,2024,28-12-2024,Satisfactory,Winter,12
29,December,89,2024,29-12-2024,Satisfactory,Winter,12
30,December,109,2024,30-12-2024,Moderate,Winter,12
31,December,94,2024,31-12-2024,Satisfactory,Winter,12
1,January,144,2025,01-01-2025,Moderate,Winter,1
2,January,184,2025,02-01-2025,Moderate,Winter,1
3,January,178,2025,03-01-2025,Moderate,Winter,1
4,January,145,2025,04-01-2025,Moderate,Winter,1
5,January,130,2025,05-01-2025,Moderate,Winter,1
6,January,83,2025,06-01-2025,Satisfactory,Winter,1
7,January,118,2025,07-01-2025,Moderate,Winter,1
8,January,115,2025,08-01-2025,Moderate,Winter,1
9,January,109,2025,09-01-2025,Moderate,Winter,1
10,January,146,2025,10-01-2025,Moderate,Winter,1
11,January,118,2025,11-01-2025,Moderate,Winter,1
12,January,96,2025,12-01-2025,Satisfactory,Winter,1
13,January,92,2025,13-01-2025,Satisfactory,Winter,1
14,January,98,2025,14-01-2025,Satisfactory,Winter,1
15,January,84,2025,15-01-2025,Satisfactory,Winter,1
16,January,80,2025,16-01-2025,Satisfactory,Winter,1
17,January,99,2025,17-01-2025,Satisfactory,Winter,1
18,January,98,2025,18-01-2025,Satisfactory,Winter,1
19,January,151,2025,19-01-2025,Moderate,Winter,1
20,January,110,2025,20-01-2025,Moderate,Winter,1
21,January,97,2025,21-01-2025,Satisfactory,Winter,1
22,January,97,2025,22-01-2025,Satisfactory,Winter,1
23,January,122,2025,23-01-2025,Moderate,Winter,1
24,January,98,2025,24-01-2025,Satisfactory,Winter,1
25,January,95,2025,25-01-2025,Satisfactory,Winter,1
26,January,130,2025,26-01-2025,Moderate,Winter,1
27,January,97,2025,27-01-2025,Satisfactory,Winter,1
28,January,133,2025,28-01-2025,Moderate,Winter,1
29,January,86,2025,29-01-2025,Satisfactory,Winter,1
30,January,100,2025,30-01-2025,Satisfactory,Winter,1
31,January,72,2025,31-01-2025,Satisfactory,Winter,1
1,February,91,2025,01-02-2025,Satisfactory,Winter,2
2,February,99,2025,02-02-2025,Satisfactory,Winter,2
3,February,112,2025,03-02-2025,Moderate,Winter,2
4,February,86,2025,04-02-2025,Satisfactory,Winter,2
5,February,114,2025,05-02-2025,Moderate,Winter,2
6,February,102,2025,06-02-2025,Moderate,Winter,2
7,February,117,2025,07-02-2025,Moderate,Winter,2
8,February,114,2025,08-02-2025,Moderate,Winter,2
9,February,100,2025,09-02-2025,Satisfactory,Winter,2
10,February,97,2025,10-02-2025,Satisfactory,Winter,2
11,February,126,2025,11-02-2025,Moderate,Winter,2
12,February,143,2025,12-02-2025,Moderate,Winter,2
13,February,118,2025,13-02-2025,Moderate,Winter,2
14,February,120,2025,14-02-2025,Moderate,Winter,2
15,February,80,2025,15-02-2025,Satisfactory,Winter,2
16,February,92,2025,16-02-2025,Satisfactory,Winter,2
17,February,80,2025,17-02-2025,Satisfactory,Winter,2
18,February,108,2025,18-02-2025,Moderate,Winter,2
19,February,64,2025,19-02-2025,Satisfactory,Winter,2
20,February,72,2025,20-02-2025,Satisfactory,Winter,2
21,February,90,2025,21-02-2025,Satisfactory,Winter,2
22,February,76,2025,22-02-2025,Satisfactory,Winter,2
23,February,69,2025,23-02-2025,Satisfactory,Winter,2
24,February,82,2025,24-02-2025,Satisfactory,Winter,2
25,February,88,2025,25-02-2025,Satisfactory,Winter,2
26,February,100,2025,26-02-2025,Satisfactory,Winter,2
27,February,98,2025,27-02-2025,Satisfactory,Winter,2
28,February,84,2025,28-02-2025,Satisfactory,Winter,2
1,March,96,2025,01-03-2025,Satisfactory,Summer,3
2,March,76,2025,02-03-2025,Satisfactory,Summer,3
3,March,74,2025,03-03-2025,Satisfactory,Summer,3
4,March,78,2025,04-03-2025,Satisfactory,Summer,3
5,March,82,2025,05-03-2025,Satisfactory,Summer,3
6,March,85,2025,06-03-2025,Satisfactory,Summer,3
7,March,97,2025,07-03-2025,Satisfactory,Summer,3
8,March,93,2025,08-03-2025,Satisfactory,Summer,3
9,March,76,2025,09-03-2025,Satisfactory,Summer,3
10,March,76,2025,10-03-2025,Satisfactory,Summer,3
11,March,102,2025,11-03-2025,Moderate,Summer,3
12,March,111,2025,12-03-2025,Moderate,Summer,3
13,March,86,2025,13-03-2025,Satisfactory,Summer,3
14,March,80,2025,14-03-2025,Satisfactory,Summer,3
15,March,95,2025,15-03-2025,Satisfactory,Summer,3
16,March,62,2025,16-03-2025,Satisfactory,Summer,3
17,March,68,2025,17-03-2025,Satisfactory,Summer,3
18,March,68,2025,18-03-2025,Satisfactory,Summer,3
19,March,72,2025,19-03-2025,Satisfactory,Summer,3
20,March,70,2025,20-03-2025,Satisfactory,Summer,3
21,March,76,2025,21-03-2025,Satisfactory,Summer,3
22,March,78,2025,22-03-2025,Satisfactory,Summer,3
23,March,74,2025,23-03-2025,Satisfactory,Summer,3
24,March,48,2025,24-03-2025,Good,Summer,3
25,March,49,2025,25-03-2025,Good,Summer,3
26,March,47,2025,26-03-2025,Good,Summer,3
27,March,54,2025,27-03-2025,Satisfactory,Summer,3
28,March,58,2025,28-03-2025,Satisfactory,Summer,3
29,March,83,2025,29-03-2025,Satisfactory,Summer,3
30,March,70,2025,30-03-2025,Satisfactory,Summer,3
31,March,67,2025,31-03-2025,Satisfactory,Summer,3
